		Temp Humidity	Outside 	Wind	Hi      	Low     	Outside 	Dew	Wind		Wind    		        	Inside  	Inside  	Archive
Date	Time	Index   	Temperature	Chill	Temperature	Temperature	Humidity	Point	Speed	Hi	Direction	Rain	Barometer	Temperature	Humidity	Period
30/05/2001	4:30 p	26.7	27.6	27.6	28.0	26.7	25	5.8	0.9	3.1	N	    0.0	781.9	28.5	32	30
30/05/2001	5:00 p	26.2	26.6	26.6	27.4	25.8	36	10.3	1.3	4.5	SE	    0.0	782.0	29.2	31	30
30/05/2001	5:30 p	24.2	25.1	25.1	25.8	24.7	43	11.7	1.3	5.4	SW	    0.0	782.2	29.1	36	30
30/05/2001	6:00 p	24.1	24.3	24.3	24.7	24.0	47	12.3	1.3	4.9	W	    0.0	782.2	29.0	39	30
30/05/2001	6:30 p	23.3	23.4	23.4	24.0	23.0	52	13.0	1.3	5.4	WSW	    0.0	782.7	29.1	38	30
30/05/2001	7:00 p	22.8	22.6	22.6	23.0	22.1	56	13.3	1.3	5.4	SW	    0.0	782.9	29.1	38	30
30/05/2001	7:30 p	21.7	21.6	21.6	22.1	21.2	62	14.0	1.3	4.0	SW	    0.0	783.2	28.9	39	30
30/05/2001	8:00 p	21.1	20.8	20.8	21.2	20.7	62	13.3	1.3	4.9	W	    0.0	783.6	28.7	40	30
30/05/2001	8:30 p	20.6	20.5	20.5	20.7	20.5	61	12.7	0.4	2.2	N	    0.0	784.2	28.3	40	30
30/05/2001	9:00 p	20.6	20.4	20.4	20.5	20.2	63	13.1	0.4	5.8	N	    0.0	784.4	28.1	40	30
30/05/2001	9:30 p	19.6	19.6	19.6	20.1	19.3	63	12.3	1.8	6.3	N	    0.0	784.7	27.8	40	30
30/05/2001	10:00 p	19.4	19.4	19.4	19.5	19.3	62	11.9	1.3	3.6	N	    0.0	784.8	27.4	41	30
30/05/2001	10:30 p	19.2	19.2	19.2	19.5	18.9	64	12.3	1.3	4.5	N	    0.0	785.2	27.2	41	30
30/05/2001	11:00 p	18.6	18.6	17.8	18.9	18.3	67	12.4	2.2	5.8	NNE	    0.0	785.4	26.7	41	30
30/05/2001	11:30 p	18.1	18.1	17.2	18.3	17.8	68	12.1	2.2	4.9	N	    0.0	785.4	26.3	42	30
31/05/2001	12:00 a	17.7	17.7	17.7	17.8	17.6	69	11.9	1.3	5.4	NNE	    0.0	785.6	25.9	42	30
