		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/12	12:30 a	9.3	9.9	9.3	71	4.3	0.4	SW	0.80	2.7	SW	9.3	9.1	9.1	6.9	774.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.188	0.000	16.9	44	4.5	15.6	8.45	 .9208	0.00	700	1	100.0	30
01/01/12	1:00 a	8.7	9.3	8.6	74	4.3	0.4	W	0.80	1.8	W	8.7	8.5	8.5	6.3	774.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.201	0.000	16.7	44	4.4	15.4	8.47	 .9215	0.00	703	1	100.0	30
01/01/12	1:30 a	8.2	8.7	8.2	75	4.1	0.9	W	1.61	2.2	W	8.2	8.1	8.1	5.8	774.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.211	0.000	16.4	45	4.5	15.2	8.62	 .9223	0.00	702	1	100.0	30
01/01/12	2:00 a	8.7	8.7	8.2	74	4.3	0.4	NW	0.80	2.2	NW	8.7	8.5	8.5	6.3	774.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.201	0.000	16.3	45	4.3	15.0	8.62	 .9228	0.00	703	1	100.0	30
01/01/12	2:30 a	8.1	8.7	8.1	75	3.9	0.0	NW	0.00	1.8	NW	8.1	7.9	7.9	5.7	774.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.213	0.000	16.1	45	4.2	14.8	8.63	 .9232	0.00	702	1	100.0	30
01/01/12	3:00 a	7.3	8.1	7.3	77	3.6	0.0	---	0.00	0.0	---	7.3	7.2	7.2	4.9	774.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.229	0.000	16.0	44	3.7	14.7	8.52	 .9239	0.00	703	1	100.0	30
01/01/12	3:30 a	7.3	7.4	7.3	77	3.6	0.0	---	0.00	0.0	---	7.3	7.2	7.2	4.9	774.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.229	0.000	15.7	44	3.5	14.4	8.54	 .9248	0.00	702	1	100.0	30
01/01/12	4:00 a	7.3	7.3	7.0	77	3.6	0.0	---	0.00	0.0	---	7.3	7.2	7.2	4.9	774.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.229	0.000	15.6	45	3.7	14.3	8.65	 .9253	0.00	703	1	100.0	30
01/01/12	4:30 a	6.9	7.3	6.9	78	3.3	0.0	---	0.00	0.0	---	6.9	6.7	6.7	4.5	774.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.238	0.000	15.4	45	3.5	14.1	8.65	 .9261	0.00	702	1	100.0	30
01/01/12	5:00 a	6.8	6.9	6.8	78	3.3	0.0	NW	0.00	0.9	N	6.8	6.7	6.7	4.4	774.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.240	0.000	15.2	45	3.4	13.9	8.65	 .9269	0.00	703	1	100.0	30
