		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat		THSW			Rain	Solar	Solar	Hi Solar		UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	UV 	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/05	12:30 a	10.1	10.5	10.0	37	-4.0	0.4	SSW	0.80	0.9	SSW	10.1	9.2	9.2	5.7	771.6	0.00	0.0	0	0.00	---	0.0	0.00	---	0.172	0.000	14.2	31	-2.7	12.4	0.00	685	1	100.0	30
01/01/05	1:00 a	9.1	10.1	9.1	42	-3.1	0.0	SSW	0.00	0.9	SSW	9.1	8.3	8.3	4.9	771.4	0.00	0.0	0	0.00	---	0.0	0.00	---	0.192	0.000	14.2	31	-2.7	12.4	0.03	684	1	100.0	30
01/01/05	1:30 a	8.7	9.1	8.7	45	-2.6	0.9	SSW	1.61	2.7	SSW	8.7	7.9	7.9	4.5	771.2	0.00	0.0	0	0.00	---	0.0	0.00	---	0.201	0.000	14.1	31	-2.8	12.3	0.00	684	1	100.0	30
01/01/05	2:00 a	8.9	8.9	8.7	46	-2.1	1.3	SW	2.41	3.1	SW	8.6	8.2	7.9	4.5	771.0	0.00	0.0	0	0.00	---	0.0	0.00	---	0.196	0.000	14.1	31	-2.8	12.3	0.03	683	1	99.9	30
01/01/05	2:30 a	8.7	9.0	8.7	46	-2.3	0.9	SSW	1.61	2.2	SSW	8.7	7.9	7.9	4.5	770.9	0.00	0.0	0	0.00	---	0.0	0.00	---	0.201	0.000	14.1	31	-2.8	12.3	0.00	684	1	100.0	30
01/01/05	3:00 a	8.3	8.7	8.0	44	-3.3	0.4	SW	0.80	3.1	WSW	8.3	7.6	7.6	4.1	770.8	0.00	0.0	0	0.00	---	0.0	0.00	---	0.209	0.000	13.9	31	-2.9	12.2	0.03	683	1	99.9	30
01/01/05	3:30 a	8.6	8.8	8.3	43	-3.3	0.9	SW	1.61	2.7	SW	8.6	7.8	7.8	4.4	770.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.203	0.000	13.9	31	-2.9	12.2	0.00	684	1	100.0	30
01/01/05	4:00 a	7.8	8.6	7.8	49	-2.2	0.0	S	0.00	0.9	S	7.8	7.2	7.2	3.8	770.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.219	0.000	13.9	31	-3.0	12.2	0.03	684	1	100.0	30
01/01/05	4:30 a	7.1	7.8	7.1	55	-1.4	0.0	S	0.00	0.9	S	7.1	6.5	6.5	3.1	770.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.235	0.000	13.8	31	-3.1	12.1	0.00	684	1	100.0	30
01/01/05	5:00 a	7.1	7.1	6.8	55	-1.4	0.4	SW	0.80	1.8	SW	7.1	6.5	6.5	3.1	770.8	0.00	0.0	0	0.00	---	0.0	0.00	---	0.235	0.000	13.8	32	-2.7	12.1	0.03	684	1	100.0	30
01/01/05	5:30 a	7.4	7.6	7.1	53	-1.6	0.4	SW	0.80	0.9	WSW	7.4	6.8	6.8	3.4	771.0	0.00	0.0	0	0.00	---	0.0	0.00	---	0.228	0.000	13.7	32	-2.7	12.1	0.00	684	1	100.0	30
01/01/05	6:00 a	7.2	7.4	7.2	55	-1.2	0.0	SW	0.00	0.9	SW	7.2	6.7	6.7	3.3	771.1	0.00	0.0	0	0.00	---	0.0	0.00	---	0.231	0.000	13.6	33	-2.4	11.9	0.00	684	1	100.0	30
01/01/05	6:30 a	6.7	7.2	6.7	60	-0.6	0.0	SW	0.00	0.4	SW	6.7	6.2	6.2	4.3	771.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.243	0.000	13.6	33	-2.4	11.9	0.00	684	1	100.0	30
01/01/05	7:00 a	6.3	6.7	6.3	60	-0.9	0.4	SW	0.80	0.9	SW	6.3	5.9	5.9	3.9	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.250	0.000	13.6	33	-2.4	11.9	0.00	683	1	99.9	30
01/01/05	7:30 a	5.6	6.3	5.6	62	-1.2	0.4	WSW	0.80	1.3	WSW	5.6	5.1	5.1	3.3	771.8	0.00	0.0	5	0.22	---	0.0	0.00	---	0.266	0.000	13.5	33	-2.5	11.8	0.00	684	1	100.0	30
01/01/05	8:00 a	6.2	6.2	5.4	62	-0.6	0.0	---	0.00	0.0	---	6.2	5.7	5.7	4.4	772.2	0.00	0.0	32	1.38	---	0.0	0.00	---	0.253	0.000	13.4	33	-2.6	11.8	0.03	683	1	99.9	30
01/01/05	8:30 a	9.3	9.3	6.2	52	-0.0	0.0	---	0.00	0.0	---	9.3	8.7	8.7	8.8	772.5	0.00	0.0	120	5.16	---	0.0	0.00	---	0.188	0.000	13.3	34	-2.2	11.7	0.00	684	1	100.0	30
