		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/12	12:30 a	9.7	9.8	9.7	64	3.2	1.3	SW	2.41	2.7	SW	9.4	9.3	9.1	6.7	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.181	0.000	16.8	38	2.4	15.2	7.55	 .9188	0.00	683	1	99.9	30
01/01/12	1:00 a	9.8	9.8	9.6	62	2.9	0.9	SW	1.61	2.7	SW	9.8	9.4	9.4	7.1	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.177	0.000	16.7	37	1.9	15.1	7.35	 .9192	0.03	683	1	99.9	30
01/01/12	1:30 a	8.8	9.8	8.8	70	3.6	0.0	NW	0.00	1.3	NW	8.8	8.5	8.5	6.2	771.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.199	0.000	16.6	37	1.8	14.9	7.35	 .9198	0.00	683	1	99.9	30
01/01/12	2:00 a	8.3	8.8	8.3	74	3.9	0.4	SW	0.80	1.8	SW	8.3	8.1	8.1	5.8	771.6	0.00	0.0	0	0.00	---	0.0	0.00	---	0.209	0.000	16.6	38	2.2	14.9	7.55	 .9197	0.03	683	1	99.9	30
01/01/12	2:30 a	8.0	8.3	8.0	77	4.2	0.4	SW	0.80	1.3	SW	8.0	7.8	7.8	5.5	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.215	0.000	16.4	38	2.1	14.8	7.55	 .9200	0.00	684	1	100.0	30
01/01/12	3:00 a	7.8	8.1	7.8	76	3.9	0.4	SW	0.80	1.8	SW	7.8	7.6	7.6	5.3	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.219	0.000	16.3	38	2.0	14.7	7.55	 .9205	0.03	684	1	100.0	30
01/01/12	3:30 a	7.8	7.8	7.8	73	3.3	0.9	SW	1.61	2.7	SW	7.8	7.6	7.6	5.2	771.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.219	0.000	16.3	38	1.9	14.7	7.55	 .9204	0.00	683	1	99.9	30
01/01/12	4:00 a	7.4	7.8	7.4	74	3.1	0.0	SW	0.00	1.3	SW	7.4	7.2	7.2	4.8	771.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.228	0.000	16.2	37	1.4	14.5	7.35	 .9210	0.03	684	1	100.0	30
01/01/12	4:30 a	7.2	7.4	7.2	75	3.1	0.0	SW	0.00	1.3	SW	7.2	7.0	7.0	4.6	771.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.231	0.000	16.1	37	1.4	14.4	7.35	 .9214	0.00	684	1	100.0	30
01/01/12	5:00 a	7.1	7.2	7.1	75	3.0	0.4	SW	0.80	2.7	SW	7.1	6.9	6.9	4.5	771.6	0.00	0.0	0	0.00	---	0.0	0.00	---	0.234	0.000	16.0	37	1.3	14.3	7.35	 .9220	0.03	684	1	100.0	30
