		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/10	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.049	0.00	0.00	---	---	---	---	---	---	---	---	70.9	29	37.0	67.5	0.000	0	1	0.0	30
01/01/10	1:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.047	0.00	0.00	---	---	---	---	---	---	---	---	70.9	29	37.0	67.5	0.000	0	1	0.0	30
01/01/10	1:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.044	0.00	0.00	---	---	---	---	---	---	---	---	70.9	29	37.0	67.5	0.000	0	1	0.0	30
01/01/10	2:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.042	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	2:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.043	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	3:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.050	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	3:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.051	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	4:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.056	0.00	0.00	---	---	---	---	---	---	---	---	70.7	30	37.7	67.3	0.000	0	1	0.0	30
01/01/10	4:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.055	0.00	0.00	---	---	---	---	---	---	---	---	70.6	30	37.6	67.2	0.000	0	1	0.0	30
01/01/10	5:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.052	0.00	0.00	---	---	---	---	---	---	---	---	70.6	30	37.6	67.2	0.000	0	1	0.0	30
01/01/10	5:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.073	0.00	0.00	---	---	---	---	---	---	---	---	70.6	30	37.6	67.2	0.000	0	1	0.0	30
01/01/10	6:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.089	0.00	0.00	---	---	---	---	---	---	---	---	70.2	30	37.3	66.7	0.000	0	1	0.0	30
01/01/10	6:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.099	0.00	0.00	---	---	---	---	---	---	---	---	70.1	30	37.2	66.5	0.000	0	1	0.0	30
01/01/10	7:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.109	0.00	0.00	---	---	---	---	---	---	---	---	70.1	30	37.2	66.5	0.000	0	1	0.0	30
01/01/10	7:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.109	0.00	0.00	---	---	---	---	---	---	---	---	70.1	30	37.2	66.5	0.000	0	1	0.0	30
01/01/10	8:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.108	0.00	0.00	---	---	---	---	---	---	---	---	69.9	30	37.0	66.3	0.000	0	1	0.0	30
01/01/10	8:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.111	0.00	0.00	---	---	---	---	---	---	---	---	69.9	30	37.0	66.3	0.000	0	1	0.0	30
01/01/10	9:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.115	0.00	0.00	---	---	---	---	---	---	---	---	69.9	30	37.0	66.3	0.000	0	1	0.0	30
01/01/10	9:30 a	54.7	54.7	54.1	60	41.1	1.0	N	0.50	3.0	N	54.7	53.4	53.4	62.3	23.116	0.00	0.00	389	16.73	---	0.0	0.00	---	0.215	0.000	69.9	30	37.0	66.3	0.000	110	1	16.1	30
01/01/10	10:00 a	56.5	56.5	54.7	54	40.0	2.0	N	1.00	7.0	NNW	56.5	54.8	54.8	64.1	23.113	0.00	0.00	435	18.71	---	0.0	0.00	---	0.177	0.000	69.9	30	37.0	66.3	0.009	656	1	95.9	30
01/01/10	10:30 a	57.6	57.6	56.5	51	39.6	4.0	N	2.00	10.0	N	57.6	55.7	55.7	64.8	23.105	0.00	0.00	446	19.18	---	0.0	0.00	---	0.154	0.000	69.9	30	37.0	66.3	0.000	668	1	97.7	30
01/01/10	11:00 a	58.7	58.9	57.5	49	39.6	2.0	NE	1.00	7.0	N	58.7	56.6	56.6	66.7	23.101	0.00	0.00	561	24.13	---	0.0	0.00	---	0.131	0.000	70.1	30	37.2	66.5	0.012	660	1	96.5	30
01/01/10	11:30 a	58.3	58.9	58.3	50	39.7	2.0	NE	1.00	6.0	NE	58.3	56.3	56.3	59.9	23.091	0.00	0.00	207	8.90	---	0.0	0.00	---	0.140	0.000	69.9	30	37.0	66.3	0.000	669	1	97.8	30
01/01/10	12:00 p	58.6	58.6	58.1	49	39.5	2.0	N	1.00	6.0	N	58.6	56.5	56.5	60.1	23.082	0.00	0.00	213	9.16	---	0.0	0.00	---	0.133	0.000	69.9	30	37.0	66.3	0.006	656	1	95.9	30
01/01/10	12:30 p	61.0	61.0	58.6	45	39.5	1.0	NE	0.50	6.0	NE	61.0	58.7	58.7	67.6	23.070	0.00	0.00	494	21.24	---	0.0	0.00	---	0.083	0.000	70.1	30	37.2	66.5	0.000	663	1	96.9	30
01/01/10	1:00 p	63.2	63.4	61.0	42	39.7	2.0	NNE	1.00	10.0	NNE	63.2	60.7	60.7	70.5	23.051	0.00	0.00	708	30.45	---	0.0	0.00	---	0.037	0.000	70.1	30	37.2	66.5	0.015	657	1	96.1	30
01/01/10	1:30 p	65.3	65.3	62.9	38	39.0	2.0	NNE	1.00	7.0	NE	65.3	62.5	62.5	72.7	23.033	0.00	0.00	664	28.56	---	0.0	0.00	---	0.000	0.006	70.2	30	37.3	66.7	0.000	666	1	97.4	30
01/01/10	2:00 p	66.1	66.4	65.3	35	37.6	1.0	NE	0.50	6.0	NE	66.1	63.0	63.0	73.1	23.016	0.00	0.00	630	27.09	---	0.0	0.00	---	0.000	0.023	70.2	30	37.3	66.7	0.016	653	1	95.5	30
01/01/10	2:30 p	66.9	66.9	65.6	35	38.3	2.0	NE	1.00	10.0	NE	66.9	63.8	63.8	73.8	22.996	0.00	0.00	570	24.51	---	0.0	0.00	---	0.000	0.040	70.2	30	37.3	66.7	0.000	671	1	98.1	30
01/01/10	3:00 p	66.3	66.9	66.1	35	37.8	2.0	ESE	1.00	6.0	ENE	66.3	63.2	63.2	65.3	22.989	0.00	0.00	134	5.76	---	0.0	0.00	---	0.000	0.027	70.6	29	36.8	67.1	0.010	540	1	78.9	30
01/01/10	3:30 p	66.6	66.6	66.3	37	39.5	2.0	E	1.00	10.0	ENE	66.6	63.7	63.7	66.0	22.977	0.00	0.00	126	5.42	---	0.0	0.00	---	0.000	0.033	70.6	29	36.8	67.1	0.000	657	1	96.1	30
01/01/10	4:00 p	---	66.8	66.6	---	---	2.0	ENE	1.00	6.0	ENE	---	---	---	---	22.970	0.00	0.00	111	4.77	---	0.0	0.00	---	---	---	70.9	29	37.0	67.5	0.000	195	1	28.5	30
01/01/10	4:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.968	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	5:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.967	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	5:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.970	0.00	0.00	---	---	---	---	---	---	---	---	70.9	29	37.0	67.5	0.000	0	1	0.0	30
01/01/10	6:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.976	0.00	0.00	---	---	---	---	---	---	---	---	70.6	29	36.8	67.1	0.000	0	1	0.0	30
01/01/10	6:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.975	0.00	0.00	---	---	---	---	---	---	---	---	70.4	29	36.6	66.8	0.000	0	1	0.0	30
01/01/10	7:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.978	0.00	0.00	---	---	---	---	---	---	---	---	70.4	30	37.5	66.9	0.000	0	1	0.0	30
01/01/10	7:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.982	0.00	0.00	---	---	---	---	---	---	---	---	70.2	30	37.3	66.7	0.000	0	1	0.0	30
01/01/10	8:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.002	0.00	0.00	---	---	---	---	---	---	---	---	70.6	29	36.8	67.1	0.000	0	1	0.0	30
01/01/10	8:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.014	0.00	0.00	---	---	---	---	---	---	---	---	70.7	30	37.7	67.3	0.000	0	1	0.0	30
01/01/10	9:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.028	0.00	0.00	---	---	---	---	---	---	---	---	70.7	30	37.7	67.3	0.000	0	1	0.0	30
01/01/10	9:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.036	0.00	0.00	---	---	---	---	---	---	---	---	70.7	29	36.9	67.2	0.000	0	1	0.0	30
01/01/10	10:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.041	0.00	0.00	---	---	---	---	---	---	---	---	70.9	29	37.0	67.5	0.000	0	1	0.0	30
01/01/10	10:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.040	0.00	0.00	---	---	---	---	---	---	---	---	70.9	30	37.9	67.6	0.000	0	1	0.0	30
01/01/10	11:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.040	0.00	0.00	---	---	---	---	---	---	---	---	70.7	30	37.7	67.3	0.000	0	1	0.0	30
01/01/10	11:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.039	0.00	0.00	---	---	---	---	---	---	---	---	70.6	29	36.8	67.1	0.000	0	1	0.0	30
02/01/10	12:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.036	0.00	0.00	---	---	---	---	---	---	---	---	70.6	30	37.6	67.2	0.000	0	1	0.0	30
02/01/10	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.037	0.00	0.00	---	---	---	---	---	---	---	---	70.4	30	37.5	66.9	0.000	0	1	0.0	30
02/01/10	1:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.032	0.00	0.00	---	---	---	---	---	---	---	---	70.4	30	37.5	66.9	0.000	0	1	0.0	30
02/01/10	1:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.028	0.00	0.00	---	---	---	---	---	---	---	---	70.4	30	37.5	66.9	0.000	0	1	0.0	30
02/01/10	2:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.021	0.00	0.00	---	---	---	---	---	---	---	---	70.2	30	37.3	66.7	0.000	0	1	0.0	30
02/01/10	2:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.016	0.00	0.00	---	---	---	---	---	---	---	---	70.2	30	37.3	66.7	0.000	0	1	0.0	30
02/01/10	3:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.007	0.00	0.00	---	---	---	---	---	---	---	---	70.2	30	37.3	66.7	0.000	0	1	0.0	30
02/01/10	3:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.004	0.00	0.00	---	---	---	---	---	---	---	---	70.1	30	37.2	66.5	0.000	0	1	0.0	30
02/01/10	4:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.001	0.00	0.00	---	---	---	---	---	---	---	---	70.1	30	37.2	66.5	0.000	0	1	0.0	30
02/01/10	4:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.002	0.00	0.00	---	---	---	---	---	---	---	---	70.1	31	38.0	66.6	0.000	0	1	0.0	30
02/01/10	5:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.005	0.00	0.00	---	---	---	---	---	---	---	---	69.9	30	37.0	66.3	0.000	0	1	0.0	30
02/01/10	5:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.004	0.00	0.00	---	---	---	---	---	---	---	---	69.9	30	37.0	66.3	0.000	0	1	0.0	30
02/01/10	6:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.013	0.00	0.00	---	---	---	---	---	---	---	---	69.7	30	36.9	66.1	0.000	0	1	0.0	30
02/01/10	6:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.011	0.00	0.00	---	---	---	---	---	---	---	---	69.7	30	36.9	66.1	0.000	0	1	0.0	30
02/01/10	7:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.017	0.00	0.00	---	---	---	---	---	---	---	---	69.7	30	36.9	66.1	0.000	0	1	0.0	30
02/01/10	7:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.018	0.00	0.00	---	---	---	---	---	---	---	---	69.6	31	37.6	66.1	0.000	0	1	0.0	30
02/01/10	8:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.025	0.00	0.00	---	---	---	---	---	---	---	---	69.4	30	36.6	65.8	0.000	0	1	0.0	30
02/01/10	8:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.033	0.00	0.00	---	---	---	---	---	---	---	---	69.4	31	37.4	65.9	0.000	0	1	0.0	30
02/01/10	9:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.030	0.00	0.00	---	---	---	---	---	---	---	---	69.4	31	37.4	65.9	0.000	0	1	0.0	30
02/01/10	9:30 a	50.7	50.7	48.5	69	40.9	0.0	ESE	0.00	1.0	ESE	50.7	50.2	50.2	57.3	23.030	0.00	0.00	284	12.21	---	0.0	0.00	---	0.298	0.000	69.2	31	37.3	65.7	0.000	381	1	55.7	30
02/01/10	10:00 a	52.2	52.2	50.7	65	40.8	0.0	E	0.00	1.0	E	52.2	51.4	51.4	56.2	23.037	0.00	0.00	219	9.42	---	0.0	0.00	---	0.267	0.000	69.2	31	37.3	65.7	0.005	656	1	95.9	30
02/01/10	10:30 a	54.2	54.2	52.2	61	41.0	0.0	E	0.00	1.0	E	54.2	53.0	53.0	58.8	23.027	0.00	0.00	274	11.78	---	0.0	0.00	---	0.225	0.000	69.2	31	37.3	65.7	0.000	670	1	98.0	30
02/01/10	11:00 a	55.6	55.6	54.2	58	41.0	0.0	---	0.00	0.0	---	55.6	54.2	54.2	58.8	23.015	0.00	0.00	242	10.41	---	0.0	0.00	---	0.196	0.000	69.2	31	37.3	65.7	0.006	660	1	96.5	30
02/01/10	11:30 a	57.0	57.0	55.6	56	41.4	0.0	ENE	0.00	1.0	ENE	57.0	55.5	55.5	59.3	23.003	0.00	0.00	215	9.25	---	0.0	0.00	---	0.167	0.000	69.2	31	37.3	65.7	0.000	663	1	96.9	30
02/01/10	12:00 p	59.6	59.6	57.0	51	41.4	0.0	NE	0.00	1.0	ENE	59.6	57.7	57.7	65.8	22.989	0.00	0.00	429	18.45	---	0.0	0.00	---	0.113	0.000	69.2	31	37.3	65.7	0.007	666	1	97.4	30
02/01/10	12:30 p	62.9	62.9	59.6	46	41.8	0.0	NE	0.00	1.0	NE	62.9	60.7	60.7	70.5	22.968	0.00	0.00	557	23.95	---	0.0	0.00	---	0.044	0.000	69.4	31	37.4	65.9	0.000	646	1	94.4	30
02/01/10	1:00 p	66.6	66.6	62.9	35	38.1	0.0	ESE	0.00	2.0	ESE	66.6	63.5	63.5	73.3	22.946	0.00	0.00	571	24.56	---	0.0	0.00	---	0.000	0.033	69.6	30	36.8	66.0	0.013	670	1	98.0	30
02/01/10	1:30 p	67.3	67.6	66.6	31	35.6	0.0	NE	0.00	2.0	E	67.3	63.8	63.8	71.4	22.934	0.00	0.00	407	17.50	---	0.0	0.00	---	0.000	0.048	69.6	29	35.9	65.9	0.000	652	1	95.3	30
02/01/10	2:00 p	66.9	67.4	66.9	30	34.4	1.0	NE	0.50	6.0	NNE	66.9	63.3	63.3	68.5	22.914	0.00	0.00	278	11.96	---	0.0	0.00	---	0.000	0.040	69.7	29	36.0	66.0	0.009	620	1	90.6	30
02/01/10	2:30 p	67.4	67.6	66.9	29	34.0	0.0	SE	0.00	2.0	NNE	67.4	63.6	63.6	67.5	22.910	0.00	0.00	214	9.20	---	0.0	0.00	---	0.000	0.050	69.6	28	35.0	65.8	0.000	666	1	97.4	30
02/01/10	3:00 p	66.3	67.4	66.3	39	40.6	0.0	SW	0.00	2.0	SW	66.3	63.6	63.6	67.1	22.900	0.00	0.00	179	7.70	---	0.0	0.00	---	0.000	0.027	69.6	29	35.9	65.9	0.005	656	1	95.9	30
02/01/10	3:30 p	65.8	66.4	65.8	41	41.4	1.0	WSW	0.50	10.0	SSW	65.8	63.3	63.3	67.7	22.890	0.00	0.00	198	8.52	---	0.0	0.00	---	0.000	0.017	69.7	29	36.0	66.0	0.000	671	1	98.1	30
02/01/10	4:00 p	65.6	65.8	65.3	39	40.0	2.0	WSW	1.00	11.0	SW	65.6	62.9	62.9	66.5	22.886	0.00	0.00	155	6.67	---	0.0	0.00	---	0.000	0.012	69.6	30	36.8	66.0	0.005	653	1	95.5	30
02/01/10	4:30 p	64.2	65.6	64.2	45	42.4	4.0	SW	2.00	12.0	WSW	64.2	62.0	62.0	65.0	22.880	0.00	0.00	122	5.25	---	0.0	0.00	---	0.017	0.000	69.6	30	36.8	66.0	0.000	502	1	73.4	30
02/01/10	5:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.885	0.00	0.00	---	---	---	---	---	---	---	---	69.4	30	36.6	65.8	0.000	0	1	0.0	30
02/01/10	5:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.892	0.00	0.00	---	---	---	---	---	---	---	---	69.4	30	36.6	65.8	0.000	0	1	0.0	30
02/01/10	6:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.898	0.00	0.00	---	---	---	---	---	---	---	---	69.2	30	36.4	65.6	0.000	0	1	0.0	30
02/01/10	6:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.908	0.00	0.00	---	---	---	---	---	---	---	---	69.2	30	36.4	65.6	0.000	0	1	0.0	30
02/01/10	7:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.920	0.00	0.00	---	---	---	---	---	---	---	---	69.2	30	36.4	65.6	0.000	0	1	0.0	30
02/01/10	7:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.932	0.00	0.00	---	---	---	---	---	---	---	---	69.4	30	36.6	65.8	0.000	0	1	0.0	30
02/01/10	8:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.949	0.00	0.00	---	---	---	---	---	---	---	---	69.4	31	37.4	65.9	0.000	0	1	0.0	30
02/01/10	8:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.963	0.00	0.00	---	---	---	---	---	---	---	---	69.6	31	37.6	66.1	0.000	0	1	0.0	30
02/01/10	9:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.976	0.00	0.00	---	---	---	---	---	---	---	---	69.6	30	36.8	66.0	0.000	0	1	0.0	30
02/01/10	9:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.985	0.00	0.00	---	---	---	---	---	---	---	---	69.6	30	36.8	66.0	0.000	0	1	0.0	30
02/01/10	10:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.003	0.00	0.00	---	---	---	---	---	---	---	---	69.4	31	37.4	65.9	0.000	0	1	0.0	30
02/01/10	10:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	23.000	0.00	0.00	---	---	---	---	---	---	---	---	69.4	31	37.4	65.9	0.000	0	1	0.0	30
02/01/10	11:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.993	0.00	0.00	---	---	---	---	---	---	---	---	69.2	31	37.3	65.7	0.000	0	1	0.0	30
02/01/10	11:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.993	0.00	0.00	---	---	---	---	---	---	---	---	69.2	31	37.3	65.7	0.000	0	1	0.0	30
03/01/10	12:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.981	0.00	0.00	---	---	---	---	---	---	---	---	69.2	31	37.3	65.7	0.000	0	1	0.0	30
03/01/10	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.984	0.00	0.00	---	---	---	---	---	---	---	---	69.2	32	38.1	65.8	0.000	0	1	0.0	30
03/01/10	1:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.979	0.00	0.00	---	---	---	---	---	---	---	---	69.2	32	38.1	65.8	0.000	0	1	0.0	30
03/01/10	1:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.963	0.00	0.00	---	---	---	---	---	---	---	---	69.0	32	37.9	65.6	0.000	0	1	0.0	30
03/01/10	2:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.954	0.00	0.00	---	---	---	---	---	---	---	---	69.0	33	38.7	65.8	0.000	0	1	0.0	30
03/01/10	2:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.946	0.00	0.00	---	---	---	---	---	---	---	---	68.9	33	38.6	65.7	0.000	0	1	0.0	30
03/01/10	3:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.944	0.00	0.00	---	---	---	---	---	---	---	---	68.9	33	38.6	65.7	0.000	0	1	0.0	30
03/01/10	3:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.932	0.00	0.00	---	---	---	---	---	---	---	---	68.9	33	38.6	65.7	0.000	0	1	0.0	30
03/01/10	4:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.919	0.00	0.00	---	---	---	---	---	---	---	---	68.9	33	38.6	65.7	0.000	0	1	0.0	30
03/01/10	4:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.881	0.00	0.00	---	---	---	---	---	---	---	---	68.7	33	38.4	65.5	0.000	0	1	0.0	30
03/01/10	5:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.875	0.00	0.00	---	---	---	---	---	---	---	---	68.7	33	38.4	65.5	0.000	0	1	0.0	30
03/01/10	5:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.879	0.00	0.00	---	---	---	---	---	---	---	---	68.7	34	39.2	65.6	0.000	0	1	0.0	30
03/01/10	6:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.906	0.00	0.00	---	---	---	---	---	---	---	---	68.7	34	39.2	65.6	0.000	0	1	0.0	30
03/01/10	6:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.924	0.00	0.00	---	---	---	---	---	---	---	---	68.5	34	39.0	65.4	0.000	0	1	0.0	30
03/01/10	7:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.931	0.00	0.00	---	---	---	---	---	---	---	---	68.5	34	39.0	65.4	0.000	0	1	0.0	30
03/01/10	7:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.937	0.00	0.00	---	---	---	---	---	---	---	---	68.5	34	39.0	65.4	0.000	0	1	0.0	30
03/01/10	8:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	22.944	0.00	0.00	---	---	---	---	---	---	---	---	68.5	34	39.0	65.4	0.000	0	1	0.0	30
