		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/12	12:30 a	10.4	10.7	10.4	63	3.6	0.0	S	0.00	2.7	S	10.4	9.9	9.9	7.5	780.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.166	0.000	20.6	30	2.4	18.6	6.25	 .9174	0.00	657	1	96.1	30
01/01/12	1:00 a	10.1	10.4	10.1	66	4.0	0.0	---	0.00	0.0	---	10.1	9.7	9.7	7.3	780.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.172	0.000	20.5	30	2.3	18.5	6.25	 .9178	0.00	657	1	96.1	30
01/01/12	1:30 a	9.4	10.1	9.4	72	4.6	0.0	---	0.00	0.0	---	9.4	9.2	9.2	6.7	780.6	0.00	0.0	0	0.00	---	0.0	0.00	---	0.186	0.000	20.5	30	2.3	18.5	6.25	 .9180	0.03	648	1	94.7	30
01/01/12	2:00 a	8.7	9.4	8.7	74	4.3	0.0	---	0.00	0.0	---	8.7	8.6	8.6	6.1	780.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.200	0.000	20.4	30	2.2	18.4	6.25	 .9183	0.03	668	1	97.7	30
01/01/12	2:30 a	8.5	8.7	8.5	74	4.1	0.0	---	0.00	0.0	---	8.5	8.3	8.3	5.9	780.4	0.00	0.0	0	0.00	---	0.0	0.00	---	0.205	0.000	20.4	30	2.2	18.4	6.25	 .9182	0.00	653	1	95.5	30
01/01/12	3:00 a	8.2	8.6	8.2	71	3.3	0.0	---	0.00	0.0	---	8.2	7.9	7.9	5.4	780.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.211	0.000	20.3	30	2.1	18.3	6.25	 .9186	0.03	656	1	95.9	30
01/01/12	3:30 a	8.1	8.2	8.0	73	3.5	0.0	---	0.00	0.0	---	8.1	7.8	7.8	5.4	780.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.214	0.000	20.2	30	2.1	18.2	6.25	 .9187	0.00	659	1	96.3	30
01/01/12	4:00 a	7.8	8.1	7.8	71	2.9	0.0	---	0.00	0.0	---	7.8	7.6	7.6	5.1	780.2	0.00	0.0	0	0.00	---	0.0	0.00	---	0.219	0.000	20.2	30	2.1	18.2	6.25	 .9185	0.03	658	1	96.2	30
01/01/12	4:30 a	7.4	7.8	7.4	73	2.9	0.0	---	0.00	0.0	---	7.4	7.2	7.2	4.7	780.4	0.00	0.0	0	0.00	---	0.0	0.00	---	0.227	0.000	20.1	30	2.0	18.1	6.25	 .9191	0.00	663	1	96.9	30
01/01/12	5:00 a	7.4	7.7	7.4	74	3.1	0.0	---	0.00	0.0	---	7.4	7.2	7.2	4.7	780.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.227	0.000	20.1	30	2.0	18.1	6.25	 .9195	0.03	636	1	93.0	30
