		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/05	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.5	0.00	0.0	---	---	---	---	---	---	---	---	17.8	24	-3.0	15.2	0.00	0	1	0.0	30
01/01/05	1:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.3	0.00	0.0	---	---	---	---	---	---	---	---	17.7	24	-3.1	15.1	0.00	0	1	0.0	30
01/01/05	1:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.3	0.00	0.0	---	---	---	---	---	---	---	---	17.7	23	-3.7	15.1	0.00	0	1	0.0	30
01/01/05	2:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.1	0.00	0.0	---	---	---	---	---	---	---	---	17.6	23	-3.8	15.0	0.00	0	1	0.0	30
01/01/05	2:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.9	0.00	0.0	---	---	---	---	---	---	---	---	17.6	23	-3.8	15.0	0.00	0	1	0.0	30
01/01/05	3:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.8	0.00	0.0	---	---	---	---	---	---	---	---	17.4	23	-3.9	14.8	0.00	0	1	0.0	30
01/01/05	3:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.8	0.00	0.0	---	---	---	---	---	---	---	---	17.6	23	-3.8	14.9	0.00	0	1	0.0	30
01/01/05	4:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.8	0.00	0.0	---	---	---	---	---	---	---	---	17.4	23	-3.9	14.8	0.00	0	1	0.0	30
01/01/05	4:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.7	0.00	0.0	---	---	---	---	---	---	---	---	17.4	23	-3.9	14.8	0.00	0	1	0.0	30
01/01/05	5:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.8	0.00	0.0	---	---	---	---	---	---	---	---	17.4	23	-4.0	14.8	0.00	0	1	0.0	30
01/01/05	5:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.9	0.00	0.0	---	---	---	---	---	---	---	---	17.4	24	-3.4	14.8	0.00	0	1	0.0	30
01/01/05	6:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.2	0.00	0.0	---	---	---	---	---	---	---	---	17.4	24	-3.4	14.8	0.00	0	1	0.0	30
01/01/05	6:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.4	0.00	0.0	---	---	---	---	---	---	---	---	17.3	24	-3.5	14.7	0.00	0	1	0.0	30
01/01/05	7:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.5	0.00	0.0	---	---	---	---	---	---	---	---	17.2	24	-3.6	14.7	0.00	0	1	0.0	30
01/01/05	7:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.8	0.00	0.0	---	---	---	---	---	---	---	---	17.2	23	-4.1	14.6	0.00	0	1	0.0	30
01/01/05	8:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.3	0.00	0.0	---	---	---	---	---	---	---	---	17.2	24	-3.6	14.7	0.00	0	1	0.0	30
01/01/05	8:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.5	0.00	0.0	---	---	---	---	---	---	---	---	17.1	24	-3.6	14.6	0.00	0	1	0.0	30
01/01/05	9:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.8	0.00	0.0	---	---	---	---	---	---	---	---	17.2	23	-4.1	14.6	0.00	0	1	0.0	30
01/01/05	9:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.9	0.00	0.0	---	---	---	---	---	---	---	---	17.2	22	-4.7	14.6	0.00	0	1	0.0	30
01/01/05	10:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.9	0.00	0.0	---	---	---	---	---	---	---	---	17.4	22	-4.6	14.7	0.00	0	1	0.0	30
01/01/05	10:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.9	0.00	0.0	---	---	---	---	---	---	---	---	17.4	22	-4.5	14.8	0.00	0	1	0.0	30
01/01/05	11:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.5	0.00	0.0	---	---	---	---	---	---	---	---	17.6	22	-4.4	14.9	0.00	0	1	0.0	30
01/01/05	11:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	781.2	0.00	0.0	---	---	---	---	---	---	---	---	17.6	22	-4.4	14.9	0.00	0	1	0.0	30
01/01/05	12:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.6	0.00	0.0	---	---	---	---	---	---	---	---	17.7	22	-4.3	15.1	0.00	0	1	0.0	30
01/01/05	12:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	780.1	0.00	0.0	---	---	---	---	---	---	---	---	17.7	22	-4.3	15.1	0.00	0	1	0.0	30
01/01/05	1:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	779.4	0.00	0.0	---	---	---	---	---	---	---	---	17.7	21	-4.9	15.0	0.00	0	1	0.0	30
01/01/05	1:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	778.8	0.00	0.0	---	---	---	---	---	---	---	---	17.8	21	-4.8	15.1	0.00	0	1	0.0	30
01/01/05	2:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	778.4	0.00	0.0	---	---	---	---	---	---	---	---	17.8	21	-4.8	15.1	0.00	0	1	0.0	30
01/01/05	2:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	778.1	0.00	0.0	---	---	---	---	---	---	---	---	17.9	21	-4.8	15.2	0.00	0	1	0.0	30
01/01/05	3:00 p	---	---	---	---	---	0.0	WSW	0.00	0.4	WSW	---	---	---	---	777.7	0.00	0.0	---	---	---	---	---	---	---	---	17.9	21	-4.8	15.2	0.00	5	1	0.7	30
01/01/05	3:30 p	24.1	24.1	24.1	17	-2.5	0.9	SE	1.61	3.6	SE	24.1	22.6	22.6	---	777.6	0.00	0.0	---	---	---	2.2	0.35	---	0.000	0.119	18.0	20	-5.3	15.2	0.00	42	1	6.1	30
01/01/05	4:00 p	24.3	24.3	24.3	17	-2.3	0.9	S	1.61	2.7	S	24.3	23.1	23.1	---	777.3	0.00	0.0	---	---	---	---	---	---	0.000	0.125	17.9	20	-5.4	15.1	0.00	23	1	3.4	30
01/01/05	4:30 p	23.9	23.9	23.9	17	-2.7	0.9	ENE	1.61	2.7	ENE	23.9	22.4	22.4	---	777.3	0.00	0.0	---	---	---	1.3	0.21	---	0.000	0.116	18.0	20	-5.3	15.2	0.00	52	1	7.6	30
01/01/05	5:00 p	23.4	23.9	23.4	20	-0.9	1.3	SSW	2.41	3.1	SW	23.4	21.7	21.7	22.6	777.5	0.00	0.0	176	7.57	---	0.7	0.11	---	0.000	0.105	18.0	20	-5.3	15.2	0.18	54	1	7.9	30
01/01/05	5:30 p	21.9	23.3	21.9	23	-0.2	2.7	SSW	4.83	5.8	SW	21.9	19.9	19.9	---	777.8	0.00	0.0	---	---	---	0.6	0.10	---	0.000	0.075	18.0	20	-5.3	15.2	0.00	65	1	9.5	30
01/01/05	6:00 p	21.0	21.9	21.0	24	-0.4	2.7	SSW	4.83	5.8	SSW	21.0	18.7	18.7	15.6	778.1	0.00	0.0	21	0.90	---	0.4	0.06	---	0.000	0.056	18.1	21	-4.6	15.4	0.13	47	1	6.9	30
01/01/05	6:30 p	---	---	---	24	---	0.9	SSE	1.61	2.7	S	---	---	---	---	778.2	0.00	0.0	---	---	---	---	---	---	---	---	18.2	21	-4.5	15.4	0.00	17	1	2.5	30
01/01/05	7:00 p	18.3	18.3	18.3	28	-0.6	0.0	S	0.00	1.3	SSE	18.3	16.0	16.0	---	778.5	0.00	0.0	---	---	---	0.3	0.05	---	0.001	0.000	18.2	21	-4.5	15.4	0.00	71	1	10.4	30
01/01/05	7:30 p	17.6	17.6	17.6	31	0.2	0.4	S	0.80	1.8	S	17.6	15.6	15.6	---	778.8	0.00	0.0	---	---	---	---	---	---	0.016	0.000	18.1	22	-4.0	15.4	0.00	86	1	12.6	30
01/01/05	8:00 p	16.1	17.1	16.1	37	1.4	0.0	SE	0.00	0.9	SE	16.1	14.4	14.4	---	779.2	0.00	0.0	---	---	---	---	---	---	0.047	0.000	18.3	22	-3.8	15.6	0.00	39	1	5.7	30
01/01/05	8:30 p	15.6	16.0	15.6	40	2.0	0.0	NNW	0.00	1.3	NNW	15.6	14.1	14.1	---	779.8	0.00	0.0	---	---	---	0.3	0.05	---	0.058	0.000	18.2	23	-3.3	15.5	0.00	148	1	21.6	30
01/01/05	9:00 p	14.7	14.8	14.7	43	2.3	0.0	NW	0.00	0.4	NW	14.7	13.4	13.4	---	780.3	0.00	0.0	---	---	---	0.3	0.05	---	0.075	0.000	18.2	24	-2.8	15.6	0.00	104	1	15.2	30
01/01/05	9:30 p	14.7	14.8	14.7	43	2.3	0.0	NW	0.00	1.3	NW	14.7	13.4	13.4	---	780.5	0.00	0.0	---	---	---	0.3	0.05	---	0.075	0.000	18.2	24	-2.8	15.6	0.00	232	1	33.9	30
01/01/05	10:00 p	13.9	14.7	13.9	47	2.8	0.0	NW	0.00	0.4	NW	13.9	12.7	12.7	---	780.7	0.00	0.0	---	---	---	0.3	0.05	---	0.093	0.000	18.2	25	-2.2	15.6	0.00	210	1	30.7	30
01/01/05	10:30 p	13.0	13.8	13.0	51	3.1	0.0	NW	0.00	0.4	NW	13.0	12.0	12.0	---	780.8	0.00	0.0	---	---	---	0.3	0.05	---	0.111	0.000	18.1	25	-2.3	15.6	0.00	173	1	25.3	30
01/01/05	11:00 p	12.4	13.0	12.4	54	3.3	0.0	NW	0.00	0.4	NW	12.4	11.6	11.6	---	780.8	0.00	0.0	---	---	---	---	---	---	0.124	0.000	18.1	26	-1.7	15.7	0.00	187	1	27.3	30
01/01/05	11:30 p	11.8	12.4	11.8	53	2.6	0.0	NW	0.00	0.4	NW	11.8	11.0	11.0	---	780.9	0.00	0.0	---	---	---	0.3	0.05	---	0.135	0.000	18.0	26	-1.8	15.6	0.00	136	1	19.9	30
02/01/05	12:00 a	11.3	11.8	11.3	57	3.1	0.0	NW	0.00	0.4	NW	11.3	10.6	10.6	---	780.9	0.00	0.0	---	---	---	0.3	0.05	---	0.147	0.000	18.0	27	-1.3	15.7	0.00	162	1	23.7	30
02/01/05	12:30 a	10.8	11.3	10.8	57	2.6	0.0	NW	0.00	0.4	NW	10.8	10.2	10.2	---	780.9	0.00	0.0	---	---	---	---	---	---	0.156	0.000	18.0	27	-1.3	15.7	0.00	133	1	19.4	30
02/01/05	1:00 a	10.3	10.8	10.3	59	2.7	0.0	---	0.00	0.0	---	10.3	9.8	9.8	---	780.9	0.00	0.0	---	---	---	0.3	0.05	---	0.167	0.000	18.0	27	-1.3	15.7	0.00	211	1	30.8	30
02/01/05	1:30 a	10.3	10.3	10.3	60	2.8	0.0	NW	0.00	0.4	NW	10.3	9.8	9.8	---	780.9	0.00	0.0	---	---	---	0.3	0.05	---	0.168	0.000	17.9	27	-1.4	15.6	0.00	225	1	32.9	30
02/01/05	2:00 a	---	---	---	62	---	0.0	NW	0.00	0.4	NW	---	---	---	---	780.8	0.00	0.0	---	---	---	0.3	0.05	---	---	---	17.9	27	-1.4	15.6	0.00	115	1	16.8	30
02/01/05	2:30 a	9.7	9.8	9.7	62	2.8	0.0	NW	0.00	0.4	NW	9.7	9.3	9.3	6.2	780.8	0.00	0.0	0	0.00	---	0.3	0.05	---	0.179	0.000	17.8	27	-1.4	15.5	0.00	125	1	18.3	30
02/01/05	3:00 a	9.7	9.7	9.7	60	2.3	0.0	S	0.00	0.9	S	9.7	9.3	9.3	---	780.8	0.00	0.0	---	---	---	---	---	---	0.179	0.000	17.8	27	-1.4	15.5	0.00	117	1	17.1	30
02/01/05	3:30 a	9.4	9.4	9.4	62	2.5	0.0	S	0.00	0.4	S	9.4	9.1	9.1	---	780.8	0.00	0.0	---	---	---	---	---	---	0.185	0.000	17.8	27	-1.4	15.5	0.00	115	1	16.8	30
02/01/05	4:00 a	9.1	9.2	9.1	64	2.7	0.0	---	0.00	0.0	---	9.1	8.7	8.7	---	780.7	0.00	0.0	---	---	---	0.3	0.05	---	0.192	0.000	17.8	27	-1.4	15.5	0.00	104	1	15.2	30
02/01/05	4:30 a	8.7	8.7	8.7	67	2.9	0.0	S	0.00	0.4	S	8.7	8.4	8.4	---	780.7	0.00	0.0	---	---	---	---	---	---	0.200	0.000	17.7	28	-1.0	15.4	0.00	121	1	17.7	30
02/01/05	5:00 a	8.1	8.4	8.1	68	2.5	0.0	---	0.00	0.0	---	8.1	7.7	7.7	---	780.7	0.00	0.0	---	---	---	---	---	---	0.214	0.000	17.6	28	-1.1	15.4	0.00	111	1	16.2	30
02/01/05	5:30 a	7.7	7.9	7.7	71	2.8	0.0	---	0.00	0.0	---	7.7	7.4	7.4	---	780.9	0.00	0.0	---	---	---	---	---	---	0.221	0.000	17.6	28	-1.1	15.4	0.00	123	1	18.0	30
