		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/11	12:30 a	11.9	12.2	11.9	48	1.2	0.0	---	0.00	0.0	---	11.9	10.9	10.9	8.9	780.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.134	0.000	16.7	49	5.9	15.6	9.27	 .9267	0.00	700	1	100.0	30
01/01/11	1:00 a	11.7	11.9	11.7	51	1.9	0.0	---	0.00	0.0	---	11.7	10.8	10.8	8.7	779.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.139	0.000	16.7	49	5.9	15.6	9.27	 .9266	0.03	703	1	100.0	30
01/01/11	1:30 a	10.9	11.7	10.9	52	1.5	0.0	---	0.00	0.0	---	10.9	10.2	10.2	8.2	780.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.154	0.000	16.6	49	5.8	15.5	9.27	 .9271	0.00	702	1	100.0	30
01/01/11	2:00 a	11.0	11.0	10.9	51	1.2	0.0	---	0.00	0.0	---	11.0	10.2	10.2	8.2	779.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.153	0.000	16.6	49	5.8	15.5	9.27	 .9270	0.03	703	1	100.0	30
01/01/11	2:30 a	10.7	11.1	10.7	54	1.8	0.0	---	0.00	0.0	---	10.7	10.1	10.1	8.0	779.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.159	0.000	16.6	49	5.8	15.4	9.28	 .9267	0.00	702	1	100.0	30
01/01/11	3:00 a	10.5	10.7	10.5	53	1.3	0.0	---	0.00	0.0	---	10.5	9.8	9.8	7.8	779.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.163	0.000	16.6	49	5.8	15.4	9.28	 .9266	0.00	703	1	100.0	30
01/01/11	3:30 a	10.2	10.5	10.2	55	1.5	0.0	---	0.00	0.0	---	10.2	9.6	9.6	7.6	779.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.170	0.000	16.6	49	5.8	15.4	9.28	 .9266	0.03	702	1	100.0	30
01/01/11	4:00 a	9.7	10.2	9.7	57	1.6	0.0	---	0.00	0.0	---	9.7	9.2	9.2	7.1	779.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.181	0.000	16.4	49	5.7	15.3	9.29	 .9269	0.03	703	1	100.0	30
01/01/11	4:30 a	9.2	9.7	9.2	58	1.3	0.0	---	0.00	0.0	---	9.2	8.7	8.7	6.6	779.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.191	0.000	16.4	49	5.7	15.3	9.29	 .9268	0.00	702	1	100.0	30
