		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/01/14	12:30 a	11.2	11.3	11.1	85	8.7	0.0	NE	0.00	1.8	ENE	11.2	11.2	11.2	1014.5	0.00	0.0	0.149	0.000	17.6	53	7.9	16.7	9.95	1.2036	702	1	100.0	30
01/01/14	1:00 a	10.9	11.1	10.7	86	8.6	0.0	---	0.00	0.0	---	10.9	10.9	10.9	1014.6	0.00	0.0	0.155	0.000	17.6	53	7.9	16.7	9.95	1.2037	702	1	100.0	30
01/01/14	1:30 a	10.6	10.7	10.5	87	8.5	0.0	---	0.00	0.0	---	10.6	10.7	10.7	1014.5	0.00	0.0	0.161	0.000	17.6	53	7.9	16.7	9.95	1.2036	702	1	100.0	30
01/01/14	2:00 a	10.4	10.5	10.3	87	8.3	0.0	---	0.00	0.0	---	10.4	10.4	10.4	1014.4	0.00	0.0	0.166	0.000	17.5	53	7.8	16.6	9.95	1.2038	703	1	100.0	30
01/01/14	2:30 a	10.1	10.3	9.8	88	8.2	0.0	---	0.00	0.0	---	10.1	10.2	10.2	1014.2	0.00	0.0	0.172	0.000	17.5	54	8.1	16.7	10.15	1.2033	702	1	100.0	30
01/01/14	3:00 a	9.6	9.8	9.4	89	7.9	0.0	E	0.00	0.9	E	9.6	9.8	9.8	1013.9	0.00	0.0	0.182	0.000	17.5	54	8.1	16.7	10.15	1.2029	703	1	100.0	30
01/01/14	3:30 a	9.5	9.6	9.5	90	7.9	0.0	---	0.00	0.0	---	9.5	9.7	9.7	1013.6	0.00	0.0	0.184	0.000	17.5	54	8.1	16.7	10.15	1.2026	702	1	100.0	30
01/01/14	4:00 a	9.6	9.7	9.5	90	8.0	0.0	---	0.00	0.0	---	9.6	9.7	9.7	1013.4	0.00	0.0	0.183	0.000	17.4	54	8.0	16.6	10.15	1.2030	703	1	100.0	30
01/01/14	4:30 a	9.6	9.7	9.4	90	8.0	0.0	---	0.00	0.0	---	9.6	9.7	9.7	1013.2	0.00	0.0	0.183	0.000	17.4	54	8.0	16.6	10.15	1.2027	702	1	100.0	30
