		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat		THSW			Rain	Solar	Solar	Hi Solar		UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	UV 	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/04	12:30 a	12.1	12.4	12.1	60	4.5	0.0	WSW	0.00	0.9	WSW	12.1	11.4	11.4	8.3	776.0	0.00	0.0	0	0.00	---	0.0	0.00	---	0.131	0.000	19.1	34	2.8	17.3	0.00	684	1	100.0	30
01/01/04	1:00 a	11.5	12.1	11.5	62	4.5	0.4	WSW	0.80	2.2	WSW	11.5	10.9	10.9	7.8	775.9	0.00	0.0	0	0.00	---	0.0	0.00	---	0.142	0.000	19.1	34	2.8	17.3	0.00	683	1	99.9	30
01/01/04	1:30 a	11.3	11.5	11.3	62	4.3	0.4	WSW	0.80	2.2	WSW	11.3	10.8	10.8	7.7	775.8	0.00	0.0	0	0.00	---	0.0	0.00	---	0.146	0.000	19.1	34	2.8	17.3	0.00	684	1	100.0	30
01/01/04	2:00 a	10.8	11.3	10.8	65	4.5	0.0	WSW	0.00	0.9	WSW	10.8	10.4	10.4	7.3	775.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.157	0.000	19.1	34	2.8	17.3	0.00	683	1	99.9	30
01/01/04	2:30 a	10.3	10.8	10.3	67	4.5	0.0	WSW	0.00	0.9	WSW	10.3	10.0	10.0	6.9	775.7	0.00	0.0	0	0.00	---	0.0	0.00	---	0.167	0.000	18.9	34	2.7	17.2	0.00	684	1	100.0	30
01/01/04	3:00 a	10.3	10.4	10.3	66	4.2	0.4	WSW	0.80	1.3	WSW	10.3	9.9	9.9	6.8	775.4	0.00	0.0	0	0.00	---	0.0	0.00	---	0.168	0.000	19.1	34	2.8	17.3	0.00	683	1	99.9	30
01/01/04	3:30 a	9.8	10.3	9.8	69	4.4	0.0	WSW	0.00	0.4	WSW	9.8	9.6	9.6	6.4	775.3	0.00	0.0	0	0.00	---	0.0	0.00	---	0.178	0.000	19.1	34	2.9	17.3	0.00	682	1	99.7	30
01/01/04	4:00 a	9.3	9.8	9.3	71	4.3	0.0	WSW	0.00	0.4	WSW	9.3	9.1	9.1	5.9	775.4	0.00	0.0	0	0.00	---	0.0	0.00	---	0.189	0.000	19.1	34	2.9	17.3	0.00	684	1	100.0	30
01/01/04	4:30 a	9.1	9.3	9.1	73	4.5	0.9	WSW	1.61	2.2	WSW	9.1	8.8	8.8	5.7	775.5	0.00	0.0	0	0.00	---	0.0	0.00	---	0.193	0.000	19.1	34	2.8	17.3	0.00	684	1	100.0	30
